,altname,wsname,aclass_base,base,aclass_quote,quote,lot,pair_decimals,lot_decimals,lot_multiplier,leverage_buy,leverage_sell,fees,fees_maker,fee_volume_currency,margin_call,margin_stop,ordermin
AUDUSD,AUDUSD,AUD/USD,currency,ZAUD,currency,ZUSD,unit,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,10
AVAXEUR,AVAXEUR,AVAX/EUR,currency,AVAX,currency,ZEUR,unit,2,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.1
AVAXUSD,AVAXUSD,AVAX/USD,currency,AVAX,currency,ZUSD,unit,2,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.1
AXSEUR,AXSEUR,AXS/EUR,currency,AXS,currency,ZEUR,unit,3,8,1,[2],[2],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.25
AXSUSD,AXSUSD,AXS/USD,currency,AXS,currency,ZUSD,unit,3,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.25
BADGEREUR,BADGEREUR,BADGER/EUR,currency,BADGER,currency,ZEUR,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
BADGERUSD,BADGERUSD,BADGER/USD,currency,BADGER,currency,ZUSD,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
BALETH,BALETH,BAL/ETH,currency,BAL,currency,XETH,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.15
BALEUR,BALEUR,BAL/EUR,currency,BAL,currency,ZEUR,unit,2,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.15
BALUSD,BALUSD,BAL/USD,currency,BAL,currency,ZUSD,unit,2,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.15
